,Date,Ticker,Price,stock_p_change,Status
353,12/30/2016,AFL,68.41,28.21,1
354,10/23/2017,AFL,84.32,4.02,0
355,11/28/2017,AFL,86.27,1.67,0
356,12/14/2017,AFL,88.42,-0.8,0
357,12/12/2013,AGN,157.75,62.65,1
358,12/31/2013,AGN,166.28,53.36,1
359,10/22/2014,AGN,229.21,9.41,1
360,11/25/2014,AGN,267.79,18.52,1
361,12/12/2014,AGN,256.58,23.7,1
362,12/31/2014,AGN,255.01,21.44,1
363,10/22/2015,AGN,250.77,-8.92,0
364,11/25/2015,AGN,317.38,-40.32,0
365,12/14/2015,AGN,300.3,-36.2,0
366,12/31/2015,AGN,309.69,-32.8,0
367,10/21/2016,AGN,228.4,-18.06,0
368,11/25/2016,AGN,190.49,-8.22,0
369,12/13/2016,AGN,191.58,-11.66,0
370,12/30/2016,AGN,208.12,-20.44,0
371,10/23/2017,AGN,187.77,-11.82,0
372,11/28/2017,AGN,171.92,-3.69,0
373,12/14/2017,AGN,170.94,-3.14,0
374,12/12/2013,AIG,46.51,10.38,1
375,12/31/2013,AIG,48.05,10.74,1
376,10/22/2014,AIG,48.97,18.93,1
377,11/25/2014,AIG,51.82,16.83,1
378,12/12/2014,AIG,51.34,17.92,1
379,12/31/2014,AIG,53.21,12.16,1
380,10/22/2015,AIG,58.24,0.94,0
381,11/25/2015,AIG,60.54,3.45,0
382,12/14/2015,AIG,56.26,16.07,1
383,12/31/2015,AIG,59.68,7.76,1
384,10/21/2016,AIG,58.79,7.91,1
385,11/25/2016,AIG,63.14,-6.19,0
386,12/13/2016,AIG,65.3,-9.69,0
387,12/30/2016,AIG,64.31,-7.42,0
388,10/23/2017,AIG,64.96,-8.34,0
389,11/28/2017,AIG,59.82,-0.47,0
390,12/14/2017,AIG,58.11,2.46,0
391,12/12/2013,AIV,22.39,49.35,1
392,12/31/2013,AIV,22.79,49.32,1
393,10/22/2014,AIV,31.15,21.03,1
394,11/25/2014,AIV,33.87,5.58,1
395,12/12/2014,AIV,33.44,6.94,1
396,12/31/2014,AIV,34.03,11.14,1
397,10/22/2015,AIV,37.7,11.41,1
398,11/25/2015,AIV,35.76,8.84,1
399,12/14/2015,AIV,35.76,16.67,1
400,12/31/2015,AIV,37.82,17.29,1
401,10/21/2016,AIV,42.0,5.21,1
402,11/25/2016,AIV,40.08,11.38,1
403,12/13/2016,AIV,41.72,5.2,1
404,12/30/2016,AIV,44.36,-2.25,0
405,10/23/2017,AIV,44.11,-1.7,0
406,11/28/2017,AIV,44.13,-1.74,0
407,12/14/2017,AIV,43.85,-1.12,0
408,12/12/2013,AIZ,59.7,4.49,0
409,12/31/2013,AIZ,61.56,4.76,0
410,10/22/2014,AIZ,60.18,28.17,1
411,11/25/2014,AIZ,63.78,27.7,1
412,12/12/2014,AIZ,62.38,30.57,1
413,12/31/2014,AIZ,64.49,19.94,1
414,10/22/2015,AIZ,77.13,5.02,1
415,11/25/2015,AIZ,81.45,2.96,0
416,12/14/2015,AIZ,78.2,15.86,1
417,12/31/2015,AIZ,77.35,18.15,1
418,10/21/2016,AIZ,81.0,25.68,1
419,11/25/2016,AIZ,85.04,15.72,1
420,12/13/2016,AIZ,90.6,9.07,1
421,12/30/2016,AIZ,91.39,10.83,1
422,10/23/2017,AIZ,99.49,1.81,0
423,11/28/2017,AIZ,99.96,1.33,0
424,12/14/2017,AIZ,97.79,3.58,0
425,12/12/2013,AKAM,43.76,38.94,1
426,12/31/2013,AKAM,47.18,33.45,1
427,10/22/2014,AKAM,53.95,34.44,1
428,11/25/2014,AKAM,64.02,-9.9,0
429,12/12/2014,AKAM,60.8,-5.13,0
430,12/31/2014,AKAM,62.96,-16.41,0
431,10/22/2015,AKAM,72.53,-20.49,0
432,11/25/2015,AKAM,57.68,15.98,1
433,12/14/2015,AKAM,51.08,27.53,1
434,12/31/2015,AKAM,52.63,26.7,1
435,10/21/2016,AKAM,57.67,-11.57,0
436,11/25/2016,AKAM,66.95,-16.82,0
437,12/13/2016,AKAM,65.14,-13.02,0
438,12/30/2016,AKAM,66.68,-2.23,0
439,10/23/2017,AKAM,51.46,26.68,1
440,11/28/2017,AKAM,55.36,17.76,1
441,12/14/2017,AKAM,56.76,14.85,1
442,12/12/2013,ALL,49.25,30.11,1
443,12/31/2013,ALL,50.89,31.2,1
444,10/22/2014,ALL,58.51,1.37,0
445,11/25/2014,ALL,64.24,-5.9,0
446,12/12/2014,ALL,64.08,-5.66,0
447,12/31/2014,ALL,66.77,-9.96,0
448,10/22/2015,ALL,59.31,11.92,1
449,11/25/2015,ALL,60.45,17.34,1
450,12/14/2015,ALL,59.44,21.13,1
451,12/31/2015,ALL,60.12,21.71,1
452,10/21/2016,ALL,66.38,37.47,1
453,11/25/2016,ALL,71.13,39.6,1
454,12/13/2016,ALL,72.0,43.5,1
455,12/30/2016,ALL,73.17,42.95,1
456,10/23/2017,ALL,92.97,12.51,1
457,11/28/2017,ALL,100.89,3.68,0
458,12/14/2017,ALL,102.65,1.9,0
459,12/12/2013,ALTR,29.99,21.51,1
460,12/31/2013,ALTR,31.36,15.88,1
461,10/22/2014,ALTR,32.33,62.76,1
462,11/25/2014,ALTR,35.8,47.51,1
463,12/12/2014,ALTR,36.44,44.92,1
464,12/31/2014,ALTR,36.34,,0
465,10/22/2015,ALTR,52.62,,0
466,11/25/2015,ALTR,52.81,,0
467,12/14/2015,ALTR,52.99,,0
468,12/31/2015,ALTR,,,0
469,10/21/2016,ALTR,,,0
470,11/25/2016,ALTR,,,0
471,12/13/2016,ALTR,,,0
472,12/30/2016,ALTR,,,0
473,10/23/2017,ALTR,,,0
474,11/28/2017,ALTR,,,0
475,12/14/2017,ALTR,,,0
476,12/12/2013,ALXN,122.35,52.76,1
477,12/31/2013,ALXN,132.88,39.25,1
478,10/22/2014,ALXN,173.27,-3.76,0
479,11/25/2014,ALXN,192.77,-5.46,0
480,12/12/2014,ALXN,186.9,-2.49,0
481,12/31/2014,ALXN,185.03,3.09,0
482,10/22/2015,ALXN,166.76,-27.88,0
483,11/25/2015,ALXN,182.24,-35.43,0
484,12/14/2015,ALXN,187.79,-41.42,0
485,12/31/2015,ALXN,190.75,-35.86,0
486,10/21/2016,ALXN,120.26,16.61,1
487,11/25/2016,ALXN,118.83,-9.45,0
488,12/13/2016,ALXN,110.01,3.21,0
489,12/30/2016,ALXN,122.35,-2.08,0
490,10/23/2017,ALXN,135.2,-11.39,0
491,11/28/2017,ALXN,108.1,10.82,1
492,12/14/2017,ALXN,113.09,5.93,1
493,12/12/2013,AMAT,15.69,44.3,1
494,12/31/2013,AMAT,16.59,43.7,1
495,10/22/2014,AMAT,19.52,-19.31,0
496,11/25/2014,AMAT,22.22,-18.9,0
497,12/12/2014,AMAT,22.64,-20.41,0
498,12/31/2014,AMAT,23.84,-23.49,0
499,10/22/2015,AMAT,15.75,78.67,1
500,11/25/2015,AMAT,18.02,72.14,1
501,12/14/2015,AMAT,17.63,80.37,1
502,12/31/2015,AMAT,18.24,75.66,1
503,10/21/2016,AMAT,28.14,96.66,1
504,11/25/2016,AMAT,31.65,82.24,1
505,12/13/2016,AMAT,31.8,59.62,1
506,12/30/2016,AMAT,32.04,61.3,1
507,10/23/2017,AMAT,56.37,-8.32,0
508,11/28/2017,AMAT,57.33,-9.86,0
509,12/14/2017,AMAT,51.31,0.72,0
510,12/12/2013,AMD,3.69,-31.71,0
511,12/31/2013,AMD,3.87,-31.01,0
512,10/22/2014,AMD,2.64,-18.94,0
513,11/25/2014,AMD,2.83,-15.9,0
514,12/12/2014,AMD,2.52,-5.56,0
515,12/31/2014,AMD,2.67,7.49,1
516,10/22/2015,AMD,2.14,204.67,1
517,11/25/2015,AMD,2.38,275.63,1
518,12/14/2015,AMD,2.34,350.43,1
519,12/31/2015,AMD,2.87,295.12,1
520,10/21/2016,AMD,6.52,115.8,1
521,11/25/2016,AMD,8.77,29.65,1
522,12/13/2016,AMD,10.54,-4.08,0
523,12/30/2016,AMD,11.34,-7.14,0
524,10/23/2017,AMD,14.1,-25.32,0
525,11/28/2017,AMD,11.17,-5.73,0
526,12/14/2017,AMD,10.13,3.95,0
527,12/12/2013,AMGN,103.3,48.97,1
528,12/31/2013,AMGN,104.69,42.31,1
529,10/22/2014,AMGN,133.85,8.02,1
530,11/25/2014,AMGN,151.74,3.1,0
531,12/12/2014,AMGN,153.89,1.66,0
532,12/31/2014,AMGN,148.98,3.97,0
533,10/22/2015,AMGN,144.58,6.65,1
534,11/25/2015,AMGN,156.45,-8.88,0
535,12/14/2015,AMGN,150.87,-3.68,0
536,12/31/2015,AMGN,154.9,-7.55,0
537,10/21/2016,AMGN,154.2,20.8,1
538,11/25/2016,AMGN,142.44,19.32,1
539,12/13/2016,AMGN,145.32,22.06,1
540,12/30/2016,AMGN,143.21,23.04,1
541,10/23/2017,AMGN,180.53,-2.39,0
542,11/28/2017,AMGN,170.26,3.49,0
543,12/14/2017,AMGN,174.92,0.74,0
544,12/12/2013,AMP,96.73,22.26,1
545,12/31/2013,AMP,104.48,17.21,1
546,10/22/2014,AMP,105.78,1.38,0
547,11/25/2014,AMP,122.38,-12.69,0
548,12/12/2014,AMP,118.26,-9.65,0
549,12/31/2014,AMP,122.46,-17.84,0
550,10/22/2015,AMP,107.24,-11.87,0
551,11/25/2015,AMP,106.85,4.45,0
552,12/14/2015,AMP,99.23,13.1,1
553,12/31/2015,AMP,100.61,7.72,1
554,10/21/2016,AMP,94.51,60.78,1
555,11/25/2016,AMP,111.82,42.71,1
556,12/13/2016,AMP,112.23,48.28,1
557,12/30/2016,AMP,108.38,57.72,1
558,10/23/2017,AMP,153.38,11.45,1
559,11/28/2017,AMP,161.75,5.68,1
560,12/14/2017,AMP,165.45,3.32,0
561,12/12/2013,AMT,71.53,30.55,1
562,12/31/2013,AMT,74.45,25.76,1
563,10/22/2014,AMT,89.59,6.67,1
564,11/25/2014,AMT,98.29,-3.14,0
565,12/12/2014,AMT,93.38,1.95,0
566,12/31/2014,AMT,93.63,0.0,0
567,10/22/2015,AMT,95.57,18.65,1
568,11/25/2015,AMT,95.2,9.02,1
569,12/14/2015,AMT,90.82,14.52,1
