,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,56.34,35.13,6.56,8.06,18.70,22.65,9.12,24.20,21.29,41540000000.0,43110000000.0,28.57,2.77,6.69,24.26,6450000000.0,3410000000.0,1790000000.0,1200000000.0,3.94,1.70,8.10,1160000000.0,3.86,2900000000.0,2.19,17.16,1500000000.0,1130000000.0,1.06,0.24,91.29,4470000.0,1.66,1.49,4890000.0,N/A
1,N/A,N/A,aa,N/A,N/A,N/A,N/A,N/A,30.25,39.85,1.41,3.56,3.53,17.13,8.70,10.09,65.33,16610000000.0,16660000000.0,9.48,N/A,1.37,8.10,12150000000.0,3050000000.0,2740000000.0,429000000.0,2.26,N/A,39.60,1810000000.0,9.78,1900000000.0,1.56,25.38,920000000.0,1680000000.0,2.28,0.87,84.54,8029999.999999999,0.84,4.89,9860000.0,N/A
2,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,170.71,29.68,7.91,40.60,26.58,30.90,19.88,145.57,22.84,29.68,29.68,29.94,3.48,7.88,22.76,378320000000.0,152840000000.0,128220000000.0,100550000000.0,6.01,20.40,11.20,63910000000.0,3.92,122800000000.0,1.04,4.40,112240000000.0,80150000000.0,1.19,0.07,59.40,111290000.0,1.21,0.68,108940000.0,N/A
3,N/A,N/A,abbv,N/A,N/A,N/A,N/A,N/A,502.70,25.14,5.13,18.59,20.54,34.75,8.22,80.95,31.75,286460000000.0,353310000000.0,11.48,N/A,6.29,14.76,56200000000.0,38880000000.0,28050000000.0,11470000000.0,6.45,133.30,7.40,9830000000.0,5.56,77600000000.0,0.79,8.71,22780000000.0,19250000000.0,0.77,0.12,69.06,14890000.0,1.89,0.84,15390000.0,N/A
4,N/A,N/A,abc,N/A,N/A,N/A,N/A,N/A,329.00,20.11,0.15,134.24,0.73,1.25,3.35,606.71,068.70,32420000000.0,35940000000.0,14.39,1.73,0.16,11.65,221100000000.0,6770000000.0,3350000000.0,1610000000.0,7.71,19.80,13.50,3170000000.0,15.15,7990000000.0,0.95,1.15,2630000000.0,1950000000.0,0.46,28.39,66.01,2130000.0,1.75,1.42,1940000.0,N/A
5,N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,53.44,30.51,4.99,5.92,16.42,21.40,7.80,20.49,24.27,211950000000.0,220710000000.0,24.88,2.26,5.12,17.97,43070000000.0,25010000000.0,12760000000.0,7040000000.0,3.94,8.00,7.20,10250000000.0,5.81,19250000000.0,1.85,20.30,10530000000.0,7680000000.0,0.75,0.74,75.41,13330000.0,2.14,0.77,10370000.0,N/A
6,N/A,N/A,ace,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A
7,N/A,N/A,aci,N/A,N/A,N/A,N/A,N/A,361.96,19.57,0.24,7.07,1.45,3.20,5.18,29.64,150.77,16340000000.0,27810000000.0,12.06,2.94,0.40,6.91,70280000000.0,20930000000.0,3870000000.0,771500000.0,1.56,243.20,8.60,2670000000.0,5.53,14150000000.0,1.12,4.94,3690000000.0,2570000000.0,N/A,14.94,73.63,6880000.0,3.24,4.41,7770000.0,N/A
8,N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,16.79,34.31,3.87,10.50,11.27,15.12,12.71,32.42,89.46,215790000000.0,213870000000.0,31.55,2.54,3.77,20.32,56690000000.0,16360000000.0,9510000000.0,6390000000.0,9.92,13.50,24.50,5470000000.0,8.64,3550000000.0,1.24,32.46,7520000000.0,5440000000.0,1.23,0.12,74.09,4380000.0,1.63,0.69,3650000.0,N/A
9,N/A,N/A,act,N/A,N/A,N/A,N/A,N/A,18.47,6.88,3.36,0.92,48.91,67.00,8.13,13.69,6.86,3760000000.0,4080000000.0,7.01,N/A,3.64,N/A,1120000000.0,748970000.0,N/A,546680000.0,3.36,68.40,4.40,425830000.0,2.62,758070000.0,0.56,25.21,572120000.0,1040000000.0,N/A,81.70,18.51,N/A,N/A,N/A,N/A,N/A
10,N/A,N/A,adbe,N/A,N/A,N/A,N/A,N/A,33.87,46.31,13.84,15.99,29.90,36.72,14.54,35.33,33.93,220270000000.0,220240000000.0,34.01,2.02,13.64,32.72,16140000000.0,13920000000.0,6520000000.0,4830000000.0,10.07,0.40,9.10,4700000000.0,9.94,4660000000.0,1.04,29.12,7230000000.0,5740000000.0,1.05,0.33,85.01,7530000.0,2.03,1.60,6420000.0,N/A
11,N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,16.71,57.69,8.88,2.38,15.18,23.74,3.45,5.18,19.35,89060000000.0,93520000000.0,20.58,1.90,11.08,32.78,8439999999.999999,4530000000.0,3450000000.0,1280000000.0,2.91,27.90,72.20,1790000000.0,3.42,6250000000.0,2.09,71.52,3160000000.0,2340000000.0,1.10,0.37,88.39,7150000.0,1.79,1.37,6870000.0,N/A
