,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
12,N/A,N/A,adm,N/A,N/A,N/A,N/A,N/A,46.47,18.34,0.58,2.20,3.18,3.45,3.47,12.76,151.15,49410000000.0,59050000000.0,16.58,24.74,0.69,12.91,85250000000.0,5990000000.0,3930000000.0,2710000000.0,4.79,13.80,28.40,989000000.0,1.76,10580000000.0,1.45,40.14,6590000000.0,1580000000.0,0.78,0.52,80.19,6220000.0,1.62,1.24,4920000.0,N/A
13,N/A,N/A,adp,N/A,N/A,N/A,N/A,N/A,68.33,34.82,6.25,18.71,17.48,22.84,4.13,50.12,37.14,94490000000.0,96090000000.0,30.21,2.78,6.29,23.15,15700000000.0,6770000000.0,4090000000.0,2740000000.0,6.46,7.20,8.90,1760000000.0,4.2,3450000000.0,1.04,12.01,3120000000.0,3920000000.0,0.83,0.09,80.53,4530000.0,2.36,1.08,5250000.0,N/A
14,N/A,N/A,adsk,N/A,N/A,N/A,N/A,N/A,360.38,99.55,11.29,57.07,11.33,16.93,5.84,54.78,19.97,48460000000.0,49760000000.0,33.00,1.95,11.34,63.97,4390000000.0,4019999999.9999995,826100000.0,497000000.0,2.24,90.20,16.60,1760000000.0,8.12,3060000000.0,0.69,3.89,1530000000.0,1300000000.0,1.46,0.21,92.93,3210000.0,1.48,1.48,4290000.0,N/A
15,N/A,N/A,adt,N/A,N/A,N/A,N/A,N/A,306.22,N/A,1.22,2.20,6.42,1.00,0.20,10.84,6.43,7150000000.0,16860000000.0,12.08,N/A,3.18,8.86,5310000000.0,3760000000.0,1970000000.0,340820000.0,0.41,N/A,5.00,24450000.0,0.03,9950000000.0,0.58,3.60,1650000000.0,448420000.0,2.08,1.05,88.63,10940000.0,4.09,4.54,10900000.0,N/A
16,N/A,N/A,aee,N/A,N/A,N/A,N/A,N/A,138.49,24.06,3.72,2.46,16.18,24.01,2.71,10.52,23.87,23810000000.0,37420000000.0,22.62,2.84,5.85,13.31,6120000000.0,2990000000.0,2620000000.0,990000000.0,3.84,8.70,16.60,0.03,0.03,13610000000.0,0.70,37.64,1660000000.0,1870000000.0,0.35,0.43,76.38,1930000.0,1.6,0.98,2340000.0,N/A
17,N/A,N/A,aeo,N/A,N/A,N/A,N/A,N/A,126.89,9.05,0.76,2.18,8.37,12.12,10.51,33.43,29.80,3100000000.0,4470000000.0,8.35,N/A,0.89,5.78,5010000000.0,1990000000.0,774160000.0,419630000.0,2.03,326.50,16.70,434770000.0,2.58,1810000000.0,1.66,8.44,303670000.0,41110000.0,1.39,6.87,112.99,28400000.0,4.07,21.46,29470000.0,N/A
18,N/A,N/A,aep,N/A,N/A,N/A,N/A,N/A,163.84,19.90,2.95,2.22,14.82,21.09,2.63,11.45,33.55,49790000000.0,85830000000.0,19.76,3.22,5.11,12.70,16790000000.0,7660000000.0,6340000000.0,2490000000.0,4.96,23.70,12.50,623800000.0,1.24,37160000000.0,0.63,44.49,3840000000.0,3260000000.0,0.34,0.04,74.10,8870000.0,2.39,1.76,6770000.0,N/A
19,N/A,N/A,aes,N/A,N/A,N/A,N/A,N/A,410.91,N/A,1.52,8.61,3.67,23.03,4.75,20.30,16.73,16989999999.999998,35330000000.0,15.70,2.15,3.17,39.13,11140000000.0,2710000000.0,3620000000.0,413000000.0,0.61,N/A,8.20,1180000000.0,1.76,19010000000.0,1.13,2.96,1900000000.0,760630000.0,0.87,0.35,95.27,12270000.0,1.9,2.41,13320000.0,N/A
20,N/A,N/A,aet,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A
21,N/A,N/A,afl,N/A,N/A,N/A,N/A,N/A,30.59,10.22,2.02,1.28,19.57,25.15,2.15,12.95,32.82,42420000000.0,45320000000.0,12.42,N/A,2.07,N/A,22110000000.0,9100000000.0,5610000000.0,4330000000.0,6.39,9.10,8.10,6780000000.0,10.43,10170000000.0,0.73,50.99,5050000000.0,1290000000.0,0.93,8.99,60.61,11440000.0,3.65,1.78,14780000.0,N/A
22,N/A,N/A,agn,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
23,N/A,N/A,aig,N/A,N/A,N/A,N/A,N/A,45.50,5.83,1.05,0.78,18.04,21.47,1.18,14.58,60.92,51370000000.0,79820000000.0,11.78,N/A,1.54,N/A,52050000000.0,19530000000.0,15810000000.0,9360000000.0,10.82,N/A,50.40,15360000000.0,18.85,31350000000.0,0.70,79.97,6280000000.0,13880000000.0,1.30,0.12,93.29,5450000.0,0.95,0.67,5940000.0,N/A
