,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
29,2008-12-18 10:54:07,1229615647.0,aa,10.35,-69.78984238178634,885.280029,-21.617786226315157,-48.17205615547118,0.672,4.90,0.28,0.55,5.91,9.12,4.32,11.25,36.138,0,0,0,0.33,0.60,4.445,0.60,0,4.445,0,2.11,51.70,2.10,0,1.038,0,1.316,18.754999,0,2.1,0.25,80.50,0,1.9,7.60,0,underperform
30,2011-09-03 09:21:23,1315056083.0,aa,12.04,-64.85697606538237,1218.890015,7.919861052620579,-72.77683711800294,48.26,13.78,0.57,0.85,4.04,8.20,3.05,6.55,22.58,0,0,8.60,0.28,0.89,6.18,0.89,0,6.18,0,0.87,136.80,27.00,0,1.19,0,1.36,14.66,0,2.28,0.09,59.60,0,1.90,5.10,0,underperform
31,2011-11-02 22:04:47,1320285887.0,aa,10.7,-68.76824284880327,1237.900024,9.602996942357994,-78.37123979116126,50.93,11.23,0.45,0.74,4.31,8.64,3.41,7.22,23.44,0,0,10.39,0.34,0.78,5.29,0.78,0,5.29,0,0.95,182.00,21.40,0,1.25,0,1.36,13.97,0,2.01,0.09,59.60,0,1.50,5.80,0,underperform
32,2011-11-05 21:29:24,1320542964.0,aa,10.93,-68.09690601284296,1237.900024,9.602996942357994,-77.69990295520095,50.93,11.47,0.47,0.78,4.31,8.64,3.41,7.22,23.44,0,0,10.61,0.34,0.80,5.45,0.80,0,5.45,0,0.95,182.00,21.40,0,1.25,0,1.36,13.97,0,2.01,0.09,59.60,0,1.50,5.80,0,underperform
33,2012-01-02 19:42:06,1325551326.0,aa,8.65,-74.75189725627554,1257.599976,11.347220011232087,-86.09911726750762,50.93,9.08,0.37,0.62,4.31,8.64,3.41,7.22,23.44,0,0,9.83,0.47,0.70,4.78,0.70,0,4.78,0,0.95,182.00,21.40,0,1.25,0,1.36,13.97,0,2.10,0.09,59.60,0,2.00,5.40,0,underperform
34,2012-05-19 11:51:52,1337442712.0,aa,8.43,-75.3940455341506,1324.800049,17.297078039141155,-92.69112357329176,55.28,23.10,0.36,0.64,1.59,5.79,2.23,3.00,23.48,0,0,8.60,1.16,0.68,5.80,0.68,0,5.80,0,0.37,69.50,0.80,0,1.65,0,1.25,13.21,0,1.96,0.06,63.40,0,2.70,6.80,0,underperform
35,2013-04-23 20:02:57,1366761777.0,aa,8.12,-76.29889083479277,1578.780029,39.78432776178932,-116.0832185965821,53.21,36.21,0.37,0.65,1.05,3.06,1.11,1.36,22.03,0,0,10.40,2.60,0.68,7.39,0.68,0,7.39,0,0.22,58.50,2.90,0,1.45,0,1.20,12.50,0,1.86,0.08,58.10,0,4.90,6.80,0,underperform
36,2013-04-26 20:55:15,1367024115.0,aa,8.27,-75.8610624635143,1582.23999,40.090670832757446,-115.95173329627175,53.21,36.92,0.38,0.67,1.05,3.06,1.11,1.36,22.03,0,0,10.88,2.87,0.70,7.55,0.70,0,7.55,0,0.22,58.50,2.90,0,1.45,0,1.20,12.50,0,1.86,0.08,58.10,0,4.50,8.30,0,underperform
37,2004-02-03 07:33:34,1075811614.0,aapl,22.32,7.05035971223021,1136.030029,6.198823972409507,0.8515357398207035,0.07,60.16,1.23,1.92,2.03,1.63,2.08,3.26,18.379,0,0,38.24,4.02,0.57,34.82,0.57,0,34.82,0,0.371,6.20,8.10,0,12.99,0,2.531,11.74,0,1.749,0.83,62.30,0,1.968,3.85,0,outperform
38,2004-06-03 01:20:38,1086240038.0,aapl,28.92,38.705035971223026,1116.640015,4.3861987503269635,34.318837220896064,2.921,63.70,1.49,2.33,2.36,2.31,2.54,3.95,19.326,0,0,37.08,2.89,0.85,21.08,0.85,0,21.08,0,0.454,6.20,8.10,0,12.09,2.921,2.921,12.042,0,1.701,1.06,66.12,0,1.978,3.12,0,outperform
39,2004-08-10 02:02:44,1092117764.0,aapl,30.3,45.32374100719424,1079.040039,0.8712624100387102,44.45247859715553,2.917,54.40,1.51,2.38,2.76,3.00,3.09,4.78,20.197,0,0,34.43,2.65,0.86,17.9,0.86,0,17.9,0,0.557,6.20,8.10,0,12.8,2.917,2.917,12.493,0,1.744,1.19,64.33,0,1.386,3.40,0,outperform
40,2004-10-12 05:40:57,1097574057.0,aapl,38.59,85.08393285371703,1121.839966,4.8723026972448675,80.21163015647217,2.917,69.28,1.98,3.13,2.76,3.00,3.09,4.78,20.197,0,0,41.05,3.38,1.33,27.68,1.33,0,27.68,0,0.557,6.20,8.10,0,12.8,2.917,2.917,12.493,0,1.802,1.19,67.52,0,2.196,3.90,0,outperform
41,2004-12-04 14:16:51,1102187811.0,aapl,62.68,200.62350119904076,1191.369995,11.372137316112614,189.25136388292816,2.632,88.41,3.08,5.03,3.33,3.94,3.86,6.02,21.419,0,0,37.09,2.21,2.42,61.54,2.42,0,61.54,0,0.709,6.20,8.10,0,13.96,2.632,2.632,12.968,0,1.775,1.26,72.07,0,1.508,5.02,0,outperform
42,2005-01-26 15:16:47,1106770607.0,aapl,71.94,245.03597122302153,1174.069946,9.754887057259594,235.28108416576194,2.581,57.83,2.99,5.03,5.20,6.71,6.62,10.37,24.517,0,0,30.35,1.71,2.33,34.66,2.33,0,34.66,0,1.244,300.00,33.40,0,15.94,2.581,2.581,14.312,0,1.81,1.47,71.08,0,0.892,3.61,0,outperform
43,2005-02-04 03:07:08,1107504428.0,aapl,77.81,273.18944844124695,1203.030029,12.46214538514959,260.72730305609736,2.581,62.55,3.30,5.56,5.20,6.71,6.62,10.37,24.517,0,0,32.83,1.92,2.67,32.09,2.67,0,32.09,0,1.24,300.00,33.40,0,15.78,2.581,2.581,14.312,0,1.81,1.54,68.75,0,0.761,3.88,0,outperform
44,2005-03-01 10:36:03,1109691363.0,aapl,44.86,115.15587529976017,1210.410034,13.152046032054496,102.00382926770567,2.581,72.01,1.86,3.11,5.20,6.71,6.63,10.37,12.259,0,0,18.24,2.06,3.09,37.16,3.09,0,37.16,0,0.62,300.00,33.40,0,7.89,2.581,2.581,14.312,0,1.8,1.54,74.88,0,0.87,3.81,0,outperform
45,2006-02-03 13:49:59,1138992599.0,aapl,72.1,245.80335731414863,1264.030029,18.164572343017426,227.6387849711312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,outperform
46,2006-02-07 09:17:30,1139321850.0,aapl,67.3,222.78177458033568,1254.780029,17.299860058422713,205.48191452191296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,outperform
47,2006-02-17 15:01:01,1140206461.0,aapl,70.21,236.73860911270975,1287.23999,20.33429541346761,216.40431369924215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,outperform
48,2013-08-11 02:30:32,1376202632.0,aapl,454.45,2079.6163069544364,1697.47998,58.6845180064419,2020.9317889479944,13.75,11.33,2.47,3.40,22.28,29.46,17.20,32.11,181.40,0,0,10.73,0.64,2.33,7.06,2.33,0,7.06,0,40.11,21.80,0.90,0,46.97,0,1.88,135.79,0,0.87,0.04,62.00,0,2.10,2.80,0,outperform
49,2013-06-19 09:57:38,1371650258.0,abbv,43.54,0.0,1628.930054,0.0,0.0,512.61,12.88,3.72,23.32,28.92,36.65,18.41,71.43,11.73,0,0,13.48,2.05,4.11,9.69,4.11,0,9.69,0,3.38,9.60,3.70,0,4.72,0,2.21,1.87,0,1.81,0.02,6.30,0,2.10,0.70,0,underperform
50,2003-10-26 16:06:32,1067198792.0,abc,57.01,0.0,1033.77002,0.0,0.0,0.592,30.65,0.14,1.69,0.86,1.73,3.56,11.90,211.815,0,0,12.78,0.84,0.17,9.29,0.17,0,9.29,0,1.86,175.70,179.40,0,2.01,0,1.471,34.77,0,0.121,1.97,88.58,0,2.874,5.70,0,underperform
51,2004-01-28 07:37:34,1075293454.0,abc,56.36,-1.14015085072794,1128.47998,9.161608304330604,-10.301759155058544,0.429,14.10,0.12,1.52,0.90,1.78,3.76,11.95,432.868,0,0,12.20,0.91,0.15,8.01,0.15,0,8.01,0,3.998,27.90,9.80,0,2.53,0,1.452,36.89,0,0.123,2.00,84.35,0,2.458,4.98,0,underperform
52,2004-05-16 19:24:15,1084749855.0,abc,58.97,3.4379933345027203,1096.439941,6.062269149573535,-2.6242758150708143,0.412,14.05,0.13,1.55,0.93,1.78,3.94,12.09,441.08,0,0,13.08,0.95,0.15,7.75,0.15,0,7.75,0,4.198,27.90,9.80,0,5.91,0,1.365,37.967999,0,0.122,1.96,86.21,0,4.396,4.91,0,underperform
53,2004-10-20 01:31:26,1098250286.0,abc,52.1,-8.612524118575683,1103.660034,6.760692673211792,-15.373216791787474,0.331,12.13,0.11,1.36,0.95,1.77,4.06,12.00,445.314,0,0,12.58,0.91,0.12,6.5,0.12,0,6.5,0,4.294,27.90,9.80,0,8.03,0,1.39,39.075001,0,0.071,1.99,90.22,0,5.682,6.84,0,underperform
54,2005-01-08 07:45:42,1105188342.0,abc,57.9,1.5611296263813377,1183.73999,14.507092206059536,-12.945962579678199,0.332,14.25,0.11,1.47,0.88,1.63,3.89,11.09,451.509,0,0,12.87,1.08,0.13,7.08,0.13,0,7.08,0,4.062,6.20,7.10,0,8.29,0,1.359,39.556,0,0.033,1.73,95.00,0,5.677,7.83,0,underperform
55,2005-03-30 19:52:42,1112226762.0,abc,55.44,-2.753902824065954,1181.410034,14.281707840589156,-17.03561066465511,0.291,14.67,0.11,1.36,0.81,1.48,3.62,10.10,460.193,0,0,14.07,1.23,0.13,7.68,0.13,0,7.68,0,3.78,6.20,7.10,0,4.77,0,1.343,39.708,0,0.024,1.18,93.01,0,4.345,5.02,0,underperform
56,2005-05-26 01:50:44,1117086644.0,abc,65.93,15.646377828451167,1197.619995,15.849751088738294,-0.20337326028712788,0.23,19.23,0.13,1.65,0.72,1.32,3.25,9.01,466.43,0,0,16.57,1.45,0.27,17.97,0.27,0,17.97,0,3.43,6.20,7.10,0,11.07,0,1.258,39.949001,0,0.031,1.06,95.00,0,4.636,7.54,0,underperform
57,2007-02-20 06:12:02,1171969922.0,abc,54.9,-3.701105069286089,1459.680054,41.19968907591265,-44.90079414519874,0.308,22.69,0.17,2.66,0.78,1.24,3.90,11.92,314.734,0,0,0,1.52,0.16,11.573,0.16,0,11.573,0,2.42,25.60,14.10,0,6.566,0,1.198,20.795,0,0.87,3.29,68.50,0,0,0,0,underperform
58,2007-04-05 16:11:07,1175803867.0,abc,53.94,-5.385020171899668,1443.76001,39.659690459972914,-45.04471063187258,0.308,22.29,0.16,2.58,0.78,1.24,3.90,11.92,314.734,0,0,0,1.67,0.16,11.328,0.16,0,11.328,0,2.42,25.60,14.10,0,6.566,0,1.198,20.795,0,0.74,3.35,95.60,0,0,0,0,underperform
59,2011-07-08 00:04:15,1310097855.0,abc,43.05,-24.486932117172426,1343.800049,29.99023216014719,-54.477164277319616,42.86,17.89,0.15,3.76,0.86,1.45,5.02,22.78,284.55,0,0,15.49,1.36,0.14,8.95,0.14,0,8.95,0,2.41,18.40,2.40,0,6.98,0,1.10,11.45,0,0.77,0.71,93.20,0,2.20,1.80,0,underperform
60,2012-02-28 18:01:38,1330470098.0,abc,37.75,-33.783546746184875,1372.180054,32.73552409654906,-66.51907084273392,66.41,14.57,0.12,3.35,0.88,1.54,5.16,24.15,300.87,0,0,11.91,1.06,0.12,6.78,0.12,0,6.78,0,2.59,1.00,2.40,0,9.19,0,1.06,11.24,0,0.77,0.73,96.50,0,2.70,2.40,0,underperform
61,2013-04-25 01:02:00,1366866120.0,abc,55.82,-2.0873530959480755,1585.160034,53.33778338822401,-55.425136484172086,59.73,19.22,0.16,5.54,0.90,1.58,5.07,27.11,327.31,0,0,15.17,1.52,0.17,9.69,0.17,0,9.69,0,2.90,4.00,5.70,0,1.81,0,0.96,10.16,0,0.66,0.18,93.60,0,3.00,3.70,0,underperform
62,2004-09-20 13:31:02,1095701462.0,abt,42.92,0.0,1122.199951,0.0,0.0,0.543,21.75,3.40,5.22,15.73,19.08,11.53,24.56,12.54,0,0,17.10,1.57,3.63,13.98,3.63,0,13.98,0,1.973,1.40,11.30,0,1.55,0,1.378,8.216,0,0.259,6.63,61.02,0,3.621,0.71,0,underperform
63,2004-10-23 22:48:08,1098586088.0,abt,40.86,-4.7996272134203215,1103.660034,-1.6521045989601955,-3.147522614460126,0.543,20.44,3.28,5.00,16.08,19.08,11.58,24.54,12.427,0,0,16.21,1.52,3.49,13.35,3.49,0,13.35,0,1.999,1.40,11.30,0,1.55,0,1.378,8.216,0,0.23,6.63,60.92,0,3.561,0.68,0,underperform
64,2005-01-25 12:44:11,1106675051.0,abt,45.93,7.013047530288905,1168.410034,4.117811888943839,2.8952356413450655,0.508,23.31,3.66,5.53,16.36,20.14,11.37,24.10,12.04,0,0,16.70,1.54,4.03,14.54,4.03,0,14.54,0,1.97,1.40,11.30,0,1.23,0,1.4,8.319,0,0.246,6.63,61.38,0,2.584,0.74,0,outperform
65,2005-02-28 19:21:54,1109636514.0,abt,45.61,6.267474370922642,1203.599976,7.253611526846333,-0.9861371559236911,0.508,23.15,3.81,5.56,16.36,20.14,11.37,24.10,12.04,0,0,16.59,1.69,4.05,14.64,4.05,0,14.64,0,1.97,1.40,11.30,0,1.23,0,1.4,8.319,0,0.216,6.63,67.36,0,1.952,0.49,0,underperform
66,2006-06-17 18:01:01,1150581661.0,abt,42.78,-0.3261882572227413,1230.040039,9.609703502829676,-9.935891760052417,0.436,19.59,2.97,4.55,15.35,20.61,10.94,23.75,14.321,0,0,0,1.74,3.13,10.792,3.13,0,10.792,0,2.18,3.20,3.70,0,1.576,0,1.482,9.463,0,0.13,0.26,61.60,0,1.7,0.50,0,underperform
67,2006-07-18 12:32:14,1153240334.0,abt,44.48,3.63466915191052,1236.859985,10.217433524019107,-6.582764372108587,0.436,20.37,3.07,4.70,15.35,20.61,10.94,23.75,14.321,0,0,0,1.78,3.24,11.197,3.24,0,11.197,0,2.18,3.20,3.70,0,1.576,0,1.482,9.463,0,0.14,0.26,62.10,0,1.9,0.60,0,underperform
68,2007-01-13 21:19:42,1168741182.0,abt,50.45,17.544268406337373,1414.849976,26.078242539506213,-8.53397413316884,0.604,24.54,3.46,4.94,14.21,20.44,10.17,21.20,14.547,0,0,0,2.01,3.85,13.127,3.85,0,13.127,0,2.06,5.20,3.50,0,0.685,0,1.355,10.186,0,0.26,0.26,66.60,0,2.8,0.80,0,underperform
69,2007-03-23 02:47:40,1174632460.0,abt,54.5,26.980428704566627,1436.109985,27.972736384480555,-0.9923076799139281,0.883,48.79,3.75,5.98,7.64,18.98,9.07,12.06,14.692,0,0,0,1.92,4.25,15.143,4.25,0,15.143,0,1.12,0,2.80,0,0.89,0,0.944,9.142,0,0.19,4.31,65.80,0,2.3,0.90,0,underperform
70,2007-04-10 20:13:09,1176250389.0,abt,57.11,33.06150978564771,1448.390015,29.06701820021732,3.9944915854303886,0.883,51.13,3.93,6.26,7.64,18.98,9.07,12.06,14.692,0,0,0,1.98,4.41,15.716,4.41,0,15.716,0,1.12,0,2.80,0,0.89,0,0.944,9.142,0,0.27,4.31,65.80,0,2.5,1.10,0,outperform
71,2007-06-03 02:36:35,1180852595.0,abt,56.3,31.174277726001854,1530.619995,36.394587580943494,-5.22030985494164,0.871,56.02,3.74,6.06,6.68,17.69,9.49,10.50,15.13,0,0,0,1.82,4.21,14.858,4.21,0,14.858,0,1.00,19.30,15.50,0,1.066,0,0.935,9.296,0,0.14,4.31,65.30,0,1.10,1.10,0,underperform
72,2008-01-23 23:41:45,1201149705.0,abt,57.97,35.06523765144454,1338.599976,19.283553239078685,15.781684412365856,0.784,46.71,3.57,5.69,7.74,17.36,7.62,12.34,16.177,0,0,0,1.66,3.96,16.136,3.96,0,16.136,0,1.24,0.20,14.40,0,1.65,0,1.045,10.101,0,0.13,0.15,67.30,0,1.8,0.60,0,outperform
