,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
56,N/A,N/A,cmi,N/A,N/A,N/A,N/A,N/A,49.27,14.54,1.29,3.56,8.87,9.62,6.23,23.53,166.12,30170000000.0,31600000000.0,12.14,1.42,1.32,8.97,24020000000.0,5700000000.0,2970000000.0,2130000000.0,14.61,21.40,0.30,3190000000.0,22.38,4630000000.0,1.74,59.47,2260000000.0,923370000.0,1.04,0.40,82.96,2430000.0,1.62,1.73,2120000.0,N/A
57,N/A,N/A,cms,N/A,N/A,N/A,N/A,N/A,173.90,26.90,2.74,3.14,18.46,17.85,2.80,10.98,25.36,20140000000.0,32380000000.000004,24.21,3.20,4.42,13.29,7330000000.0,2650000000.0,2290000000.0,746000000.0,4.66,304.40,17.70,452000000.0,1.56,12500000000.0,1.19,22.11,1820000000.0,896880000.0,0.24,0.38,92.96,4210000.0,2.07,1.66,3120000.0,N/A
58,N/A,N/A,cnp,N/A,N/A,N/A,N/A,N/A,171.43,32.77,2.25,2.25,17.79,16.40,2.41,7.52,14.09,19390000000.0,34610000000.0,22.47,5.39,4.14,13.20,8350000000.0,3210000000.0,2470000000.0,573000000.0,2.28,227.00,12.70,1710000000.0,2.72,16140000000.0,1.72,13.71,22000000.0,4230000000.0000005,0.93,0.15,94.09,12660000.0,2.32,2.25,12160000.0,N/A
59,N/A,N/A,cog,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
60,N/A,N/A,cost,N/A,N/A,N/A,N/A,N/A,46.28,45.93,1.21,13.01,2.62,3.84,8.56,30.98,474.20,252630000000.0,249580000000.0,44.44,4.58,1.19,26.46,210220000000.0,25250000000.0,9910000000.0,5510000000.0,12.41,36.60,15.90,12300000000.0,27.74,9250000000.0,1.03,43.81,9930000000.0,5450000000.0,0.66,0.21,69.04,4090000.0,1.6,0.92,4760000.0,N/A
61,N/A,N/A,cpb,N/A,N/A,N/A,N/A,N/A,156.92,14.71,1.64,4.03,11.09,16.74,7.10,29.54,27.44,13500000000.0,18170000000.0,16.08,4.75,2.19,10.62,8300000000.000001,2810000000.0,1720000000.0,927000000.0,3.02,13.50,3.10,357000000.0,1.18,5260000000.0,0.85,11.09,1190000000.0,911120000.0,0.48,35.56,53.71,16180000.0,5.2,8.33,17370000.0,N/A
62,N/A,N/A,csco,N/A,N/A,N/A,N/A,N/A,31.93,19.95,4.57,5.86,22.94,27.35,9.28,30.08,12.25,231260000000.0,221620000000.0,16.18,2.77,4.30,13.04,51550000000.0,31890000000.0,15990000000.0,11830000000.0,2.80,16.80,6.40,21120000000.0,5.08,12610000000.0,1.42,9.52,14270000000.0,10490000000.0,0.95,0.07,75.68,41980000.0,1.93,1.01,50250000.0,N/A
63,N/A,N/A,csx,N/A,N/A,N/A,N/A,N/A,125.24,22.43,6.79,6.09,30.20,41.71,8.13,28.42,5.57,82090000000.0,96620000000.0,20.92,2.65,7.72,13.62,12520000000.0,6640000000.0,6640000000.0,3780000000.0,1.68,22.90,21.30,2320000000.0,1.06,16910000000.0,1.73,6.13,5100000000.0,2720000000.0,1.22,0.22,76.75,23170000.0,1.22,1.07,23580000.0,N/A
64,N/A,N/A,ctl,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
65,N/A,N/A,ctsh,N/A,N/A,N/A,N/A,N/A,13.80,22.90,2.65,4.06,11.55,15.17,10.09,18.72,35.12,48640000000.0,47560000000.0,20.53,1.60,2.57,13.95,18510000000.0,6910000000.0,3350000000.0,2140000000.0000002,4.05,82.30,14.20,2720000000.0,5.18,1660000000.0,2.08,22.84,2500000000.0,1800000000.0,1.10,0.12,94.63,6690000.0,1.95,1.28,6130000.0,N/A
66,N/A,N/A,ctxs,N/A,N/A,N/A,N/A,N/A,648.57,41.59,3.98,23.35,9.56,11.68,3.96,93.27,25.92,12780000000.0,15740000000.0,18.98,1.86,4.89,29.74,3220000000.0,2680000000.0,575730000.0,307500000.0,2.44,8.20,5.10,527179999.99999994,4.2,3550000000.0,0.73,4.38,671650000.0,881600000.0,0.03,0.77,94.46,4840000.0,1.5,5.97,3150000.0,N/A
67,N/A,N/A,d,N/A,N/A,N/A,N/A,N/A,151.73,26.61,4.92,2.70,23.55,31.70,2.83,9.94,17.29,68820000000.0,110900000000.0,20.58,3.04,7.94,15.36,13960000000.0,6810000000.0,7190000000.0,2580000000.0,3.98,96.60,10.20,283000000.0,0.35,41430000000.0,0.84,31.51,4040000000.0,3850000000.0,0.41,0.15,69.83,8510000.0,2.53,1.05,7090000.0,N/A
68,N/A,N/A,dd,N/A,N/A,N/A,N/A,N/A,41.62,24.15,2.55,1.51,38.83,16.24,2.90,5.46,30.68,40010000000.0,48780000000.0,16.42,1.59,2.93,11.67,16649999999.999998,5850000000.0,4099999999.9999995,1760000000.0,11.89,8.10,13.90,2009999999.9999998,3.92,11260000000.0,1.89,51.65,2280000000.0,11910000000.0,1.22,0.10,74.50,6800000.0,1.86,1.50,4530000.0,N/A
69,N/A,N/A,de,N/A,N/A,N/A,N/A,N/A,268.36,22.89,2.93,7.12,12.70,16.55,5.93,35.40,143.23,126680000000.0,168780000000.0,18.15,1.70,3.83,18.51,44410000000.0,12190000000.0,8250000000.0,5640000000.0,18.07,26.20,5.00,3810000000.0,12.41,47790000000.0,2.31,58.03,5030000000.0,446000000.0,0.99,0.14,78.68,2680000.0,0.96,0.87,2520000.0,N/A
70,N/A,N/A,df,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
71,N/A,N/A,dg,N/A,N/A,N/A,N/A,N/A,227.51,22.47,1.57,8.35,7.01,9.42,7.72,37.13,146.08,52300000000.0,66200000000.0,19.92,2.25,1.93,17.14,34220000000.0,10810000000.0,3860000000.0,2400000000.0,10.17,7.00,2.80,344830000.0,1.51,14250000000.0,1.05,27.22,2870000000.0,1300000000.0,0.58,0.28,97.49,7270000.0,3.48,3.18,8310000.000000001,N/A
72,N/A,N/A,dgx,N/A,N/A,N/A,N/A,N/A,72.74,9.09,3.36,2.62,18.49,22.67,11.06,30.92,86.30,16890000000.0,20790000000.0,15.70,41.33,1.93,6.58,10790000000.0,4240000000.0,2850000000.0,1990000000.0,15.55,32.60,8.60,872000000.0,7.3,4770000000.0,1.56,54.15,2230000000.0,1550000000.0,1.10,0.58,92.20,5830000.0,4.7,5.58,4980000.0,N/A
73,N/A,N/A,dhi,N/A,N/A,N/A,N/A,N/A,33.06,6.50,1.02,1.83,15.66,20.21,16.30,31.56,80.48,28640000000.0,31490000000.0,5.25,0.83,1.09,5.38,28890000000.0,7440000000.0,5910000000.0,4530000000.0,12.45,44.20,18.90,2350000000.0,6.64,5290000000.0,5.55,44.25,612400000.0,915650000.0,1.68,11.71,83.25,7970000.0,2.3,3.20,10410000.0,N/A
74,N/A,N/A,dhr,N/A,N/A,N/A,N/A,N/A,51.51,34.80,7.40,5.05,21.84,27.73,6.41,14.94,41.22,211630000000.0,235580000000.0,28.33,4.60,8.00,23.55,29450000000.0,18060000000.0,10340000000.0,6180000000.0,8.61,44.10,20.50,2590000000.0,3.62,23270000000.0,1.43,58.60,8359999999.999999,5480000000.0,0.78,11.14,80.63,4090000.0,1.52,0.64,5310000.0,N/A
75,N/A,N/A,dis,N/A,N/A,N/A,N/A,N/A,52.25,82.78,3.57,2.88,4.22,7.51,1.69,3.68,40.15,259220000000.00003,298910000000.0,33.33,1.12,4.10,27.71,72990000000.0,22290000000.0,10560000000.0,3150000000.0,1.68,394.10,34.30,14440000000.0,7.93,54130000000.0,1.10,49.87,5280000000.0,5870000000.0,1.17,0.13,65.90,17360000.0,1.61,0.95,21430000.0,N/A
76,N/A,N/A,disca,N/A,N/A,N/A,N/A,N/A,116.81,17.05,1.43,1.15,8.25,17.00,3.78,9.29,21.00,13370000000.0,24220000000.0,8.61,0.60,1.99,3.39,12190000000.0,7580000000.0,3660000000.0,912000000.0,1.38,86.00,10.40,4120000000.0,6.41,15650000000.0,2.10,17.70,2800000000.0,6990000000.0,1.15,2.77,111.21,45470000.0,30.52,30.52,30260000.0,N/A
77,N/A,N/A,dks,N/A,N/A,N/A,N/A,N/A,214.61,8.03,0.99,4.23,12.36,16.67,15.25,68.44,147.79,8900000000.0,10760000000.0,9.40,2.54,0.88,4.53,12290000000.0,4710000000.0,2370000000.0,1520000000.0,13.87,57.60,7.30,2640000000.0,33.1,4510000000.0,1.88,27.80,1620000000.0,1130000000.0,1.73,5.39,123.86,12690000.0,6.31,30.40,13410000.0,N/A
78,N/A,N/A,dlph,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
79,N/A,N/A,dltr,N/A,N/A,N/A,N/A,N/A,129.17,27.35,1.38,4.63,5.05,7.03,5.45,17.70,115.50,35700000000.0,44690000000.0,20.08,1.28,1.70,17.68,26320000000.0,7750000000.0,2570000000.0,1330000000.0,5.80,9.70,4.60,984900000.0,4.38,9970000000.0,1.34,34.29,1430000000.0,253160000.0,0.73,1.36,106.11,5840000.0,1.88,2.95,4640000.0,N/A
80,N/A,N/A,dnr,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
81,N/A,N/A,dov,N/A,N/A,N/A,N/A,N/A,79.04,21.03,2.99,5.60,14.21,16.58,8.38,29.67,54.94,23450000000.0,26370000000.0,18.90,1.43,3.33,14.67,7910000000.0,2980000000.0,1600000000.0,1120000000.0,7.74,99.20,11.70,385500000.0,2.68,3310000000.0,1.36,29.08,1120000000.0,744300000.0,1.39,1.12,86.20,1230000.0,1.53,0.97,1370000.0,N/A
82,N/A,N/A,dri,N/A,N/A,N/A,N/A,N/A,256.88,16.86,1.89,7.51,11.17,12.33,7.07,42.87,71.95,17160000000.0,21350000000.0,16.05,1.25,2.29,14.25,9310000000.0,1490000000.0,1490000000.0,1040000000.0,7.95,91.90,41.30,555300000.0,4.37,5870000000.0,0.70,18.00,1350000000.0,656600000.0,1.42,0.39,90.64,4200000.0,2.73,3.70,3400000.0,N/A
83,N/A,N/A,dsw,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
84,N/A,N/A,dte,N/A,N/A,N/A,N/A,N/A,209.47,31.85,1.69,2.91,6.06,10.10,2.22,7.38,77.53,25300000000.0,43520000000.0,21.83,3.50,2.91,15.86,14960000000.0,3340000000.0,2540000000.0,794000000.0,4.67,11.30,50.90,28000000.0,0.14,18250000000.0,0.52,44.93,3070000000.0,1450000000.0,0.65,0.65,73.43,2690000.0,2.03,1.57,1750000.0,N/A
85,N/A,N/A,dtv,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
86,N/A,N/A,dva,N/A,N/A,N/A,N/A,N/A,505.08,12.99,1.09,14.66,8.42,15.24,6.49,46.01,110.41,11080000000.0,22570000000.0,14.51,1.33,1.94,9.08,11620000000.0,3650000000.0,2450000000.0,978450000.0,8.90,7.90,1.30,484210000.0,5.03,11980000000.0,1.32,7.77,1930000000.0,1080000000.0,1.19,3.23,89.54,3520000.0,5.18,5.92,3550000.0,N/A
87,N/A,N/A,ea,N/A,N/A,N/A,N/A,N/A,29.45,57.77,5.70,4.76,9.83,15.30,4.72,8.22,22.83,36230000000.0,35180000000.0,17.21,20.75,5.40,26.14,6510000000.0,4130000000.0,1370000000.0,640000000.0,2.22,68.70,6.90,3020000000.0,10.73,2240000000.0,1.20,27.00,1830000000.0,1720000000.0,0.84,0.51,93.20,2720000.0,1.42,0.97,3210000.0,N/A
88,N/A,N/A,ebay,N/A,N/A,N/A,N/A,N/A,96.46,158.45,3.83,3.62,130.60,28.39,8.05,3.78,15.98,35380000000.0,37480000000.0,14.97,4.93,3.60,32.06,10420000000.0,7770000000.0,3460000000.0,252000000.0,20.52,133.00,5.40,7320000000.0,12.46,9430000000.0,1.97,16.46,2660000000.0,3400000000.0,1.15,4.24,92.51,18760000.0,1.97,3.20,21510000.0,N/A
89,N/A,N/A,ecl,N/A,N/A,N/A,N/A,N/A,126.23,46.73,4.15,7.24,8.87,14.67,5.94,17.00,44.47,52310000000.0,61100000000.0,34.72,3.16,4.80,24.56,12730000000.0,5210000000.0,2710000000.0,1130000000.0,3.91,0.20,9.80,359900000.0,1.25,9160000000.0,1.32,25.18,2060000000.0,1100000000.0,1.10,0.49,89.65,2890000.0,1.82,1.16,2490000.0,N/A
90,N/A,N/A,ed,N/A,N/A,N/A,N/A,N/A,125.23,24.29,2.39,1.65,9.84,19.66,2.67,6.06,39.25,33110000000.0,57480000000.0,21.01,5.82,4.20,13.26,13680000000.0,7670000000.0,4720000000.0,1350000000.0,3.85,420.90,15.40,992000000.0,2.8,25470000000.0,1.02,56.60,2730000000.0,1380000000.0,0.20,0.13,68.69,6650000.0,3.41,2.10,6630000.0,N/A
91,N/A,N/A,efx,N/A,N/A,N/A,N/A,N/A,150.34,40.39,6.10,8.34,15.11,23.12,6.89,21.98,40.39,29880000000.0,34950000000.0,27.70,1.51,7.10,22.06,4920000000.0,2940000000.0,1630000000.0,744200000.0,6.02,64.10,12.10,224700000.0,1.84,5410000000.0,0.49,29.36,1330000000.0,648370000.0,1.49,0.44,92.33,2360000.0,1.97,2.18,1820000.0,N/A
92,N/A,N/A,eix,N/A,N/A,N/A,N/A,N/A,166.02,34.87,1.78,1.91,5.09,21.24,2.75,4.50,39.22,26550000000.0,57670000000.0,15.36,3.19,3.87,14.44,14900000000.0,8710000000.0,5140000000.0,759000000.0,2.00,0.60,5.50,390000000.0,1.02,29530000000.0,0.64,36.57,11000000.0,4050000000.0,0.68,0.12,90.94,3960000.0,2.05,1.27,3680000.0,N/A
93,N/A,N/A,el,N/A,N/A,N/A,N/A,N/A,112.28,32.20,5.90,16.44,18.35,20.02,10.65,51.93,48.99,102190000000.0,105550000000.0,32.57,3.00,5.95,22.07,17730000000.0,12390000000.0,4250000000.0,3250000000.0,8.85,24.60,14.10,4610000000.0,12.85,7960000000.0,1.73,17.31,3500000000.0,2260000000.0,1.10,0.66,91.32,2480000.0,1.49,1.07,2580000.0,N/A
94,N/A,N/A,emn,N/A,N/A,N/A,N/A,N/A,92.79,18.19,1.49,2.57,8.18,17.82,7.39,14.58,77.66,14660000000.0,19360000000.0,11.65,2.51,1.85,10.63,10480000000.0,2500000000.0,2400000000.0,857000000.0,6.25,081.20,23.20,480000000.0,3.72,5370000000.0,1.56,44.24,1620000000.0,422250000.0,1.50,0.51,90.33,2009999.9999999998,1.55,1.79,1590000.0,N/A
95,N/A,N/A,emr,N/A,N/A,N/A,N/A,N/A,90.46,21.63,3.21,5.74,14.85,17.20,7.87,28.81,31.06,58840000000.0,63420000000.0,19.76,1.84,3.42,13.65,18550000000.0,7560000000.0,3980000000.0,2750000000.0,4.58,101.30,7.50,4730000000.0,7.96,9310000000.0,2.04,17.25,3290000000.0,2460000000.0,1.45,0.77,75.47,6670000.0,1.99,1.13,5590000.0,N/A
96,N/A,N/A,eqr,N/A,N/A,N/A,N/A,N/A,74.05,27.11,14.63,3.20,54.09,25.18,1.87,12.26,6.59,34920000000.0,43480000000.0,87.72,5.11,17.65,17.22,2460000000.0,1520000000.0,1460000000.0,1330000000.0,3.55,108.40,5.20,123830000.0,0.33,8650000000.0,0.53,29.07,1260000000.0,936950000.0,0.80,1.71,93.54,4880000.0,3.01,1.79,5600000.0,N/A
97,N/A,N/A,esv,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
98,N/A,N/A,etfc,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
99,N/A,N/A,etn,N/A,N/A,N/A,N/A,N/A,55.41,29.50,3.22,3.84,10.92,12.84,4.78,13.66,49.23,62940000000.0,71290000000.0,21.01,2.35,3.63,17.99,19630000000.0,6330000000.0,3440000000.0,2140000000.0000002,5.34,16.00,2.40,590000000.0,1.48,9110000000.0,1.04,41.16,2160000000.0,3710000000.0,1.21,0.30,82.84,3980000.0,1.8,1.00,3090000.0,N/A
100,N/A,N/A,etr,N/A,N/A,N/A,N/A,N/A,229.49,21.01,2.00,2.04,9.52,17.21,2.15,9.68,58.44,23680000000.0,50390000000.0,18.48,3.08,4.29,11.48,11740000000.0,4880000000.0,3960000000.0,1120000000.0,5.54,33.30,14.90,442560000.0,2.18,27370000000.0,0.58,57.42,2300000000.0,4350000000.0,0.62,0.35,89.92,3600000.0,2.75,2.01,3370000.0,N/A
101,N/A,N/A,ew,N/A,N/A,N/A,N/A,N/A,11.83,49.05,14.08,12.43,28.73,30.32,12.60,28.88,8.40,72540000000.0,71760000000.0,45.66,3.63,13.71,38.68,5230000000.0,3980000000.0,1720000000.0,1500000000.0,2.38,8.30,11.60,1470000000.0,2.35,690300000.0,3.08,9.35,1730000000.0,1010000000.0,1.15,0.76,86.18,4460000.0,1.78,0.72,6320000.0,N/A
102,N/A,N/A,exc,N/A,N/A,N/A,N/A,N/A,125.04,27.01,1.27,1.34,4.69,12.17,2.11,5.25,37.13,46060000000.0,87290000000.0,20.62,2.20,2.40,7.69,36350000000.0,10180000000.0,9450000000.0,1710000000.0,1.74,8.90,18.70,1180000000.0,1.21,43510000000.0,0.87,35.13,3010000000.0,735250000.0,0.57,0.18,82.08,13640000.0,1.53,1.39,13120000.0,N/A
103,N/A,N/A,fast,N/A,N/A,N/A,N/A,N/A,20.93,36.86,5.66,11.16,15.39,20.25,18.42,32.03,10.46,33950000000.000004,34350000000.0,33.11,3.13,5.71,24.74,6010000000.0,2780000000.0,1390000000.0,925000000.0,1.60,17.90,12.80,236200000.0,0.41,636800000.0,4.19,5.29,770100000.0,460310000.0,1.28,0.20,79.13,12110000.0,3.26,2.39,14040000.0,N/A
104,N/A,N/A,fb,N/A,N/A,N/A,N/A,N/A,11.57,16.69,5.57,5.01,33.38,39.65,17.97,31.10,41.89,625670000000.0,591540000000.0,17.70,1.25,5.02,10.81,117930000000.0,95280000000.0,54720000000.0,39370000000.0,13.77,8.30,19.90,48000000000.0,17.63,14450000000.0,3.15,44.30,57680000000.0,28810000000.0,1.39,0.53,79.15,33220000.0,0.93,1.45,31820000.0,N/A
105,N/A,N/A,fdx,N/A,N/A,N/A,N/A,N/A,152.30,12.51,0.69,2.52,5.60,9.00,6.18,22.09,346.30,61830000000.0,93120000000.0,10.53,0.91,1.02,7.85,91680000000.0,23730000000.0,12180000000.0,5130000000.0,19.09,24.70,9.90,6060000000.0,23.4,37350000000.0,1.39,94.63,9070000000.0,2910000000.0,1.31,7.64,73.65,2830000.0,1.18,1.18,4380000.0,N/A
106,N/A,N/A,fe,N/A,N/A,N/A,N/A,N/A,278.55,20.03,2.23,2.99,11.72,20.37,3.10,15.57,20.08,25950000000.0,48350000000.0,18.94,4.83,4.34,11.44,10940000000.0,7420000000.0,3560000000.0,1240000000.0,2.35,76.40,5.00,1460000000.0,2.56,24160000000.0,0.73,15.21,2810000000.0,302880000.0,0.33,0.07,85.02,14050000.0,2.66,2.78,13950000.0,N/A
107,N/A,N/A,ffiv,N/A,N/A,N/A,N/A,N/A,29.05,39.62,5.01,5.44,12.65,16.80,5.61,14.03,44.03,13090000000.0,12930000000.0,20.62,1.28,4.85,25.04,2670000000.0,2120000000.0,565860000.0,337120000.0,5.44,6.70,10.00,858950000.0,14.14,698710000.0,1.18,39.62,598200000.0,550330000.0,1.11,0.40,97.03,2060000.0,3.96,3.84,2120000.0,N/A
108,N/A,N/A,fis,N/A,N/A,N/A,N/A,N/A,43.92,152.22,4.56,1.31,3.01,9.37,0.97,0.87,22.53,62170000000.0,81040000000.0,13.99,1.12,5.84,16.14,13880000000.0,5200000000.0,3940000000.0,417000000.0,0.67,179.80,10.70,2009999999.9999998,3.3,20880000000.0,0.74,77.75,4810000000.0,3740000000.0,0.74,0.25,93.46,4740000.0,0.98,0.78,5870000.0,N/A
109,N/A,N/A,fisv,N/A,N/A,N/A,N/A,N/A,68.78,51.76,4.26,2.17,8.22,14.19,1.91,4.30,24.49,67180000000.00001,87580000000.0,15.97,1.00,5.40,15.76,16230000000.0,8100000000.0,5500000000.0,1330000000.0,1.99,11.00,11.10,835000000.0,1.28,21970000000.0,1.03,47.62,4030000000.0000005,3150000000.0,0.81,0.47,93.90,11300000.0,2.72,2.00,10930000.0,N/A
110,N/A,N/A,flir,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
111,N/A,N/A,fls,N/A,N/A,N/A,N/A,N/A,81.76,36.71,1.30,2.55,3.56,8.06,3.54,7.57,27.17,4600000000.0,5440000000.0,19.19,1.92,1.54,18.69,3540000000.0,1070000000.0000001,385180000.0,125950000.0,0.96,70.20,6.70,658450000.0,5.05,1500000000.0,2.11,13.88,250120000.0,256010000.0,1.60,0.40,100.13,3550000.0,1.97,4.32,4059999.9999999995,N/A
112,N/A,N/A,fmc,N/A,N/A,N/A,N/A,N/A,109.31,20.98,3.35,5.43,14.60,22.86,6.94,26.58,39.29,16450000000.0,19780000000.0,17.21,1.78,3.92,16.54,5050000000.0,2170000000.0,1320000000.0,802900000.0,5.70,290.10,22.70,520500000.0,4.14,3340000000.0,1.40,24.12,820100000.0,676370000.0,0.84,1.07,90.71,1890000.0,1.92,1.69,2130000.0,N/A
113,N/A,N/A,frx,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
114,N/A,N/A,fslr,N/A,N/A,N/A,N/A,N/A,6.69,19.31,3.09,1.51,16.03,15.38,3.87,8.16,27.51,8990000000.0,7570000000.0,303.03,25.90,2.59,8.95,2920000000.0,740150000.0,709570000.0,468690000.0,4.38,13.50,48.90,1830000000.0,17.17,398590000.0,4.39,56.05,237560000.0,166020000.0,1.37,12.00,80.55,4250000.0,1.79,4.57,4139999.9999999995,N/A
115,N/A,N/A,ftr,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
116,N/A,N/A,gd,N/A,N/A,N/A,N/A,N/A,74.68,20.87,1.77,3.80,8.47,11.39,5.40,19.56,137.18,67060000000.0,78630000000.0,19.88,2.41,2.04,15.14,38470000000.0,6410000000.0,5270000000.0,3260000000.0,11.55,5.00,1.80,1600000000.0,5.78,13180000000.0,1.43,63.67,4250000000.0,2940000000.0,0.99,6.07,86.53,2370000.0,1.15,1.04,2350000.0,N/A
117,N/A,N/A,gild,N/A,N/A,N/A,N/A,N/A,126.73,12.28,2.80,3.61,22.80,40.91,10.24,31.57,21.74,76010000000.0,96190000000.0,9.22,0.51,3.52,8.49,27310000000.0,21780000000.0,13220000000.0,6220000000.0,4.93,75.40,2.40,7410000000.0,5.91,26700000000.0,1.27,16.80,11380000000.0,9930000000.0,0.42,0.10,83.22,14840000.0,1.13,1.18,22240000.0,N/A
118,N/A,N/A,gm,N/A,N/A,N/A,N/A,N/A,168.04,6.90,0.53,1.13,7.89,9.00,2.98,17.22,87.53,67220000000.0,148930000000.0,6.61,1.58,1.17,5.79,127000000000.0,18080000000.0,16890000000.0,9840000000.0,6.70,38.80,10.50,24680000000.0,16.98,110590000000.0,1.10,39.83,15190000000.0,8250000000.0,1.23,4.93,84.45,29200000.0,1.58,2.01,26500000.0,N/A
119,N/A,N/A,gpc,N/A,N/A,N/A,N/A,N/A,99.31,20.91,1.00,5.30,4.76,6.74,5.72,26.74,131.56,18490000000.0,20980000000.0,17.01,1.66,1.11,13.50,18870000000.0,6630000000.0,1560000000.0,898790000.0,6.23,49.50,13.00,714700000.0,5.03,3480000000.0,1.18,24.55,1260000000.0,726590000.0,1.11,2.04,78.48,1550000.0,1.84,1.26,1350000.0,N/A
120,N/A,N/A,grmn,N/A,N/A,N/A,N/A,N/A,1.48,21.64,4.70,3.83,21.72,24.46,10.23,18.61,25.93,23400000000.0,21630000000.0,20.62,1.86,4.34,15.75,4980000000.0,2890000000.0,1370000000.0,1080000000.0,5.61,14.20,3.00,1850000000.0,9.58,90550000.0,2.94,31.74,1010000000.0,389230000.0,1.02,20.38,54.30,2600000.0,1.39,1.71,3110000.0,N/A
121,N/A,N/A,gtn,N/A,N/A,N/A,N/A,N/A,283.63,56.12,0.88,1.22,3.73,20.68,3.33,3.74,25.40,2130000000.0,9410000000.0,3.88,0.39,3.90,14.90,2410000000.0,806000000.0,720000000.0,38000000.0,0.40,87.10,9.00,189000000.0,2.02,6830000000.0,2.51,18.85,300000000.0,138750000.0,1.75,13.63,82.73,4800000.0,7.81,5.72,3970000.0,N/A
122,N/A,N/A,gww,N/A,N/A,N/A,N/A,N/A,127.87,26.15,2.08,14.15,8.01,12.05,15.22,52.39,250.91,26520000000.0,29040000000.0,21.32,1.87,2.23,16.53,13020000000.0,4720000000.0,1750000000.0,1040000000.0,19.84,68.50,14.20,241000000.0,4.72,2760000000.0,2.62,36.59,937000000.0,548250000.0,1.25,9.58,72.72,3.07,3.07,2.31,6.48,N/A
123,N/A,N/A,har,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
124,N/A,N/A,has,N/A,N/A,N/A,N/A,N/A,136.10,27.88,1.86,3.97,6.68,13.68,5.26,14.40,46.53,12010000000.0,15050000000.0,15.72,2.80,2.34,9.01,6420000000.0,3240000000.0,1160000000.0,428700000.0,3.10,21.90,16.90,983400000.0,7.08,4200000000.0,1.52,21.89,817900000.0,1280000000.0,0.98,6.00,84.74,6570000.0,5.3,5.77,6420000.0,N/A
125,N/A,N/A,hon,N/A,N/A,N/A,N/A,N/A,107.18,24.97,4.02,7.29,16.11,21.73,7.24,30.29,49.68,135410000000.0,144520000000.0,23.09,2.05,4.20,16.42,34390000000.0,11000000000.0,8700000000.0,5540000000.0,7.91,5.10,2.70,11520000000.0,16.8,20630000000.0,1.30,27.12,6040000000.0,5110000000.0,1.15,0.09,75.54,5320000.0,1.32,0.78,5890000.0,N/A
126,N/A,N/A,hrl,N/A,N/A,N/A,N/A,N/A,46.76,30.01,2.32,3.89,7.74,10.01,6.57,13.56,22.09,27640000000.0,30110000000.0,26.04,3.50,2.52,20.78,11970000000.0,1960000000.0,1440000000.0,926130000.0,1.69,7.80,23.70,846630000.0,1.55,3320000000.0,2.19,13.08,1180000000.0,569480000.0,0.09,47.30,42.22,11520000.0,4.61,4.01,10800000.0,N/A
127,N/A,N/A,hrs,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
128,N/A,N/A,hsy,N/A,N/A,N/A,N/A,N/A,194.98,30.20,4.97,15.98,16.47,22.83,13.10,59.37,43.40,44070000000.0,49120000000.0,27.10,4.53,5.48,21.91,8970000000.0,4050000000.0,2360000000.0,1480000000.0,7.11,15.20,6.40,329270000.0,1.6,5380000000.0,0.90,13.38,2080000000.0,1170000000.0,0.39,0.22,77.46,1980000.0,1.79,1.53,1890000.0,N/A
