,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
11,N/A,N/A,aep,N/A,N/A,N/A,N/A,N/A,163.84,19.90,2.95,2.22,14.82,21.09,2.63,11.45,33.55,49790000000.0,85830000000.0,19.76,3.22,5.11,12.70,16790000000.0,7660000000.0,6340000000.0,2490000000.0,4.96,23.70,12.50,623800000.0,1.24,37160000000.0,0.63,44.49,3840000000.0,3260000000.0,0.34,0.04,74.10,8870000.0,2.39,1.76,6770000.0,N/A
12,N/A,N/A,agn,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
13,N/A,N/A,akam,N/A,N/A,N/A,N/A,N/A,63.11,30.64,5.77,4.26,18.83,23.32,6.35,14.84,21.28,19310000000.0,21090000000.0,20.28,1.10,6.09,15.61,3460000000.0,2190000000.0,1190000000.0,651640000.0,3.93,41.60,7.00,1080000000.0,6.72,2860000000.0,2.43,28.22,1400000000.0,766390000.0,0.58,1.68,95.86,14230000.0,7.03,10.16,14020000.0,N/A
14,N/A,N/A,alxn,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
15,N/A,N/A,amat,N/A,N/A,N/A,N/A,N/A,48.42,19.70,5.34,10.51,27.10,32.11,19.91,56.07,26.75,124950000000.0,124970000000.0,17.15,2.09,5.17,15.45,24170000000.0,10930000000.0,8160000000.0,6550000000.0,7.18,58.60,21.50,5740000000.0,6.49,5760000000.0,2.51,13.46,6680000000.0,4190000000.0000005,1.41,0.30,80.91,10000000.0,1.26,1.14,10900000.0,N/A
16,N/A,N/A,amd,N/A,N/A,N/A,N/A,N/A,9.76,47.95,9.22,26.75,19.24,22.20,21.33,47.43,13.55,200540000000.0,197590000000.0,30.40,1.57,12.02,47.43,16430000000.0,7930000000.0,4059999999.9999995,3160000000.0,2.57,45.30,48.80,3610000000.0,3.01,732000000.0,2.02,6.21,3520000000.0,3120000000.0,1.85,0.33,52.90,27780000.0,0.24,1.71,88710000.0,N/A
17,N/A,N/A,amgn,N/A,N/A,N/A,N/A,N/A,507.15,23.50,5.33,20.08,22.68,35.94,9.40,73.16,45.58,134539999999.99998,159820000000.0,13.57,1.41,6.15,14.15,25980000000.0,19520000000.0,12580000000.0,5890000000.0,10.28,17.60,3.20,8039999999.999999,14.43,33979999999.999996,1.59,12.00,9260000000.0,7490000000.0,0.59,0.23,77.95,24470000.0,7.52,4.40,11880000.0,N/A
18,N/A,N/A,amt,N/A,N/A,N/A,N/A,N/A,573.44,44.27,12.14,22.48,27.44,38.00,3.80,37.08,20.72,114220000000.0,164280000000.0,53.19,2.81,17.56,27.23,9360000000.0,6670000000.0,5890000000.0,2570000000.0,5.66,24.20,15.20,1950000000.0,4.28,52010000000.0,0.41,11.15,4820000000.0,5010000000.0,0.46,0.32,93.44,3690000.0,1.78,0.93,3620000.0,N/A
19,N/A,N/A,amzn,N/A,N/A,N/A,N/A,N/A,100.86,52.25,3.71,12.46,7.10,5.30,4.19,28.81,928.50,52.25,52.25,58.14,3.02,3.71,23.48,469820000000.0,197480000000.0,59170000000.0,33360000000.0,64.81,98.30,9.40,96050000000.0,188.76,139440000000.0,1.14,271.60,46330000000.0,787250000.0,1.11,9.88,60.36,4230000.0,1.19,0.97,4320000.0,N/A
20,N/A,N/A,an,N/A,N/A,N/A,N/A,N/A,208.41,6.16,0.33,2.91,5.31,7.29,12.50,48.94,348.30,6920000000.0,11810000000.0,5.38,4.31,0.46,5.57,25840000000.0,4950000000.0,2080000000.0,1370000000.0,18.31,155.50,13.80,60400000.0,0.98,4950000000.0,0.92,37.97,1630000000.0,2109999999.9999998,1.40,21.07,82.92,5850000.0,6.07,14.05,5750000.0,N/A
21,N/A,N/A,ann,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
22,N/A,N/A,aon,N/A,N/A,N/A,N/A,N/A,900.09,58.74,6.04,65.73,10.29,29.09,6.92,55.18,54.26,69740000000.0,79330000000.0,25.06,2.08,6.51,30.76,12190000000.0,5480000000.0,3870000000.0,1260000000.0,5.55,64.70,3.90,676000000.0,3.16,10420000000.0,1.00,4.94,2180000000.0,2840000000.0,0.88,1.08,92.96,3820000.0,2.68,1.80,3500000.0,N/A
23,N/A,N/A,apc,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
24,N/A,N/A,apd,N/A,N/A,N/A,N/A,N/A,51.71,26.51,5.13,4.05,19.90,21.27,5.47,15.43,49.35,55950000000.0,59640000000.0,24.51,1.35,5.45,14.74,10940000000.0,3140000000.0,3660000000.0,2120000000.0,9.79,16.30,26.10,3700000000.0,16.68,7430000000.0,2.46,62.35,3350000000.0,457750000.0,0.89,0.32,85.25,2550000.0,1.51,1.15,2410000.0,N/A
25,N/A,N/A,aph,N/A,N/A,N/A,N/A,N/A,79.18,30.82,4.45,7.35,14.63,19.94,10.04,26.71,18.19,46330000000.0,49890000000.0,28.17,2.87,4.59,19.95,10880000000.0,3400000000.0,2560000000.0,1570000000.0,2.54,30.30,24.80,1240000000.0,2.07,5050000000.0,2.43,10.52,1540000000.0,803720000.0,1.27,0.56,97.52,4500000.0,1.48,0.85,5940000.0,N/A
26,N/A,N/A,atvi,N/A,N/A,N/A,N/A,N/A,22.14,23.47,7.19,3.58,30.66,37.90,8.66,16.54,11.33,62930000000.0,56110000000.0,22.17,6.00,6.37,15.12,8800000000.0,6490000000.0,3450000000.0,2700000000.0,3.44,10.80,10.30,10600000000.0,13.61,3900000000.0,5.21,22.59,2410000000.0,1990000000.0,0.54,0.29,86.66,20410000.0,2.46,2.64,19800000.0,N/A
27,N/A,N/A,avb,N/A,N/A,N/A,N/A,N/A,75.62,35.92,15.72,3.30,43.47,27.10,2.00,9.26,16.57,36090000000.0,43940000000.0,60.61,4.06,19.15,22.09,2310000000.0,1460000000.0,1380000000.0,7.19,7.19,1.70,6.10,423460000.0,3.04,8270000000.0,1.19,78.36,1200000000.0,,0.93,0.34,92.96,1710000.0,2.62,1.66,1830000.0,N/A
28,N/A,N/A,avp,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
29,N/A,N/A,avy,N/A,N/A,N/A,N/A,N/A,171.36,20.26,1.78,7.66,8.80,12.46,9.32,43.42,101.43,14730000000.0,17680000000.0,18.59,4.04,2.10,13.52,8410000000.0,2310000000.0,1260000000.0,740100000.0,8.83,4.60,9.70,196100000.0,2.38,3300000000.0,1.07,23.30,1050000000.0,599100000.0,1.04,0.64,91.58,1020000.0,1.71,1.41,2.72,N/A
30,N/A,N/A,bax,N/A,N/A,N/A,N/A,N/A,200.74,31.43,3.16,4.41,10.04,16.36,4.88,14.51,25.47,40010000000.0,55370000000.0,18.45,1.53,4.33,21.52,12780000000.0,5250000000.0,2980000000.0,1280000000.0,2.53,41.70,10.50,2950000000.0,5.88,18310000000.0,2.09,18.10,2220000000.0,1010000000.0,0.62,0.18,88.53,5130000.0,1.6,1.15,4770000.0,N/A
31,N/A,N/A,bbt,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
32,N/A,N/A,bby,N/A,N/A,N/A,N/A,N/A,130.40,10.24,0.49,7.51,4.74,5.82,10.29,64.52,209.73,22690000000.0,23640000000.0,11.20,1.44,0.46,6.03,51760000000.0,11630000000.0,3880000000.0,2450000000.0,9.84,23.30,3.40,2940000000.0,13.04,3940000000.0,0.99,13.28,3250000000.0,1830000000.0,1.53,11.44,84.59,13070000.0,3.14,6.61,13570000.0,N/A
